<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.07.23	19:15:00	4043.275	4049.142	4043.048	4048.072	1572	0	240
2026.07.23	19:30:00	4048.124	4051.051	4045.721	4045.721	1721	0	240
2026.07.23	19:45:00	4045.766	4050.996	4044.884	4049.891	2046	0	240
2026.07.23	20:00:00	4049.956	4051.215	4048.140	4049.646	1331	0	240
2026.07.23	20:15:00	4049.395	4050.656	4047.445	4050.124	1020	0	240
2026.07.23	20:30:00	4050.435	4050.574	4048.821	4049.818	945	0	240
2026.07.23	20:45:00	4049.864	4050.195	4047.359	4049.201	869	0	240
2026.07.23	22:00:00	4050.636	4050.733	4048.557	4049.022	727	0	240
2026.07.23	22:15:00	4049.113	4050.249	4049.113	4049.882	627	0	240
2026.07.23	22:30:00	4049.852	4050.599	4048.892	4049.347	756	0	240
2026.07.23	22:45:00	4049.251	4050.621	4048.573	4049.439	676	0	240
2026.07.23	23:00:00	4049.439	4049.945	4047.326	4048.400	834	0	240
2026.07.23	23:15:00	4048.436	4049.954	4046.983	4049.128	854	0	240
2026.07.23	23:30:00	4049.289	4050.803	4046.874	4048.365	1126	0	240
2026.07.23	23:45:00	4048.356	4049.659	4046.515	4047.068	1400	0	240
2026.07.24	00:00:00	4047.145	4049.943	4041.333	4041.670	3156	0	240
2026.07.24	00:15:00	4041.736	4048.146	4041.099	4046.580	2515	0	240
2026.07.24	00:30:00	4046.882	4050.249	4044.843	4049.326	2248	0	240
2026.07.24	00:45:00	4049.382	4050.828	4048.377	4050.024	1802	0	240
2026.07.24	01:00:00	4050.074	4050.329	4040.094	4042.575	4417	0	240
2026.07.24	01:15:00	4042.322	4045.869	4041.446	4042.881	2915	0	240
2026.07.24	01:30:00	4042.827	4050.610	4041.453	4049.840	2635	0	240
2026.07.24	01:45:00	4049.774	4050.282	4041.501	4043.504	2437	0	240
2026.07.24	02:00:00	4043.487	4045.937	4040.970	4045.587	2502	0	240
2026.07.24	02:15:00	4045.534	4048.449	4042.663	4046.643	1759	0	240
2026.07.24	02:30:00	4046.735	4048.039	4041.247	4041.797	2495	0	240
2026.07.24	02:45:00	4041.777	4041.964	4023.161	4024.457	6350	0	240
2026.07.24	03:00:00	4024.493	4032.199	4022.985	4031.649	2939	0	240
2026.07.24	03:15:00	4031.626	4033.624	4028.080	4030.208	2405	0	240
2026.07.24	03:30:00	4030.257	4033.335	4030.218	4031.455	1950	0	240
2026.07.24	03:45:00	4031.615	4032.219	4028.283	4029.371	1566	0	240
2026.07.24	04:00:00	4029.311	4030.177	4026.967	4028.253	1767	0	240
2026.07.24	04:15:00	4028.243	4030.419	4027.662	4029.927	1455	0	240
2026.07.24	04:30:00	4029.723	4030.538	4025.919	4026.663	1480	0	240
2026.07.24	04:45:00	4026.880	4028.795	4025.662	4027.133	1361	0	240
2026.07.24	05:00:00	4026.932	4032.209	4025.174	4027.711	2071	0	240
2026.07.24	05:15:00	4027.690	4029.779	4022.219	4026.098	2219	0	240
2026.07.24	05:30:00	4026.015	4031.606	4024.021	4024.890	3544	0	240
2026.07.24	05:45:00	4024.839	4029.166	4021.844	4022.978	2487	0	240
2026.07.24	06:00:00	4022.950	4031.450	4022.756	4030.816	2671	0	240
2026.07.24	06:15:00	4030.867	4039.111	4029.218	4036.336	2818	0	240
